,frequency,length,syllables
affably,1.68,7,3
amiably,2.02,7,3
morbidly,2.58,8,3
placidly,1.8,8,3
candidly,2.76,8,3
ardently,2.44,8,3
obliquely,2.7,9,4
mundanely,1.19,9,4
equitably,2.4,9,4
immutably,1.47,9,4
languidly,2.04,9,3
furtively,2.23,9,4
copiously,2.05,9,3
sedulously,1.2,10,4
petulantly,1.7,10,4
nefariously,1.35,11,4
assiduously,2.44,11,4
incessantly,2.91,11,4
ferociously,2.46,11,4
egregiously,2.17,11,4
audaciously,1.87,11,4
tenaciously,2.19,11,4
dexterously,1.43,11,4
insidiously,2.09,11,4
vicariously,2.72,11,4
oppressively,1.97,12,5
colloquially,2.69,12,4
conspicuously,2.88,13,4
belligerently,1.9,13,5
incredulously,2.22,13,5
magnanimously,1.73,13,5
